dataset,class_name,label,source_file,noise_model,severity,seed,per_file_seed,clean_file,noisy_file,difference_file,comparison_file,mean_absolute_difference,max_absolute_difference
Brain,Brain,1,test/Ungood/img/00006_92.png,mri,0.1,111,1074929519,noise_examples\Brain\clean\test__Ungood__img__00006_92_e96d249c.png,noise_examples\Brain\noisy\test__Ungood__img__00006_92_e96d249c.png,noise_examples\Brain\difference\test__Ungood__img__00006_92_e96d249c.png,noise_examples\Brain\comparison\test__Ungood__img__00006_92_e96d249c.png,0.11245433241128922,0.5372549295425415
Brain,Brain,1,test/Ungood/img/01218_84.png,mri,0.1,111,336149320,noise_examples\Brain\clean\test__Ungood__img__01218_84_f3c645fe.png,noise_examples\Brain\noisy\test__Ungood__img__01218_84_f3c645fe.png,noise_examples\Brain\difference\test__Ungood__img__01218_84_f3c645fe.png,noise_examples\Brain\comparison\test__Ungood__img__01218_84_f3c645fe.png,0.11109987646341324,0.5176470875740051
Brain,Brain,1,test/Ungood/img/00417_68.png,mri,0.1,111,520032394,noise_examples\Brain\clean\test__Ungood__img__00417_68_6d5a9261.png,noise_examples\Brain\noisy\test__Ungood__img__00417_68_6d5a9261.png,noise_examples\Brain\difference\test__Ungood__img__00417_68_6d5a9261.png,noise_examples\Brain\comparison\test__Ungood__img__00417_68_6d5a9261.png,0.11025640368461609,0.5098039507865906
Brain,Brain,1,test/Ungood/img/00359_60.png,mri,0.1,111,1169369453,noise_examples\Brain\clean\test__Ungood__img__00359_60_368e8f57.png,noise_examples\Brain\noisy\test__Ungood__img__00359_60_368e8f57.png,noise_examples\Brain\difference\test__Ungood__img__00359_60_368e8f57.png,noise_examples\Brain\comparison\test__Ungood__img__00359_60_368e8f57.png,0.10801348090171814,0.529411792755127
Brain,Brain,1,test/Ungood/img/01323_92.png,mri,0.1,111,137801087,noise_examples\Brain\clean\test__Ungood__img__01323_92_78a7475c.png,noise_examples\Brain\noisy\test__Ungood__img__01323_92_78a7475c.png,noise_examples\Brain\difference\test__Ungood__img__01323_92_78a7475c.png,noise_examples\Brain\comparison\test__Ungood__img__01323_92_78a7475c.png,0.11459571868181229,0.5529412031173706
Brain,Brain,1,test/Ungood/img/01145_60.png,mri,0.1,111,454831540,noise_examples\Brain\clean\test__Ungood__img__01145_60_7f22de1e.png,noise_examples\Brain\noisy\test__Ungood__img__01145_60_7f22de1e.png,noise_examples\Brain\difference\test__Ungood__img__01145_60_7f22de1e.png,noise_examples\Brain\comparison\test__Ungood__img__01145_60_7f22de1e.png,0.11373168975114822,0.545098066329956
Brain,Brain,1,test/Ungood/img/01012_60.png,mri,0.1,111,1517119568,noise_examples\Brain\clean\test__Ungood__img__01012_60_8f037983.png,noise_examples\Brain\noisy\test__Ungood__img__01012_60_8f037983.png,noise_examples\Brain\difference\test__Ungood__img__01012_60_8f037983.png,noise_examples\Brain\comparison\test__Ungood__img__01012_60_8f037983.png,0.11249681562185287,0.529411792755127
Brain,Brain,1,test/Ungood/img/01567_76.png,mri,0.1,111,1175794093,noise_examples\Brain\clean\test__Ungood__img__01567_76_19b8fecd.png,noise_examples\Brain\noisy\test__Ungood__img__01567_76_19b8fecd.png,noise_examples\Brain\difference\test__Ungood__img__01567_76_19b8fecd.png,noise_examples\Brain\comparison\test__Ungood__img__01567_76_19b8fecd.png,0.11657453328371048,0.5960784554481506
Brain,Brain,1,test/Ungood/img/00581_92.png,mri,0.1,111,1903534297,noise_examples\Brain\clean\test__Ungood__img__00581_92_53667e8e.png,noise_examples\Brain\noisy\test__Ungood__img__00581_92_53667e8e.png,noise_examples\Brain\difference\test__Ungood__img__00581_92_53667e8e.png,noise_examples\Brain\comparison\test__Ungood__img__00581_92_53667e8e.png,0.1119394451379776,0.5333333611488342
Brain,Brain,1,test/Ungood/img/00293_76.png,mri,0.1,111,2111868173,noise_examples\Brain\clean\test__Ungood__img__00293_76_2689f4cf.png,noise_examples\Brain\noisy\test__Ungood__img__00293_76_2689f4cf.png,noise_examples\Brain\difference\test__Ungood__img__00293_76_2689f4cf.png,noise_examples\Brain\comparison\test__Ungood__img__00293_76_2689f4cf.png,0.10899181663990021,0.49803921580314636
